IMDb ID,Title,Runtime (mins),Year,Genres,Release Date,IMDb Rating,Metascore,Rating,Box Office
tt1872181,The Amazing Spider-Man 2,142,2014,"Action, Adventure, Sci-Fi",4/10/2014,6.6,53,PG-13,183277573
tt1323594,Despicable Me,95,2010,"Animation, Comedy, Family, Fantasy",6/20/2010,7.7,72,PG,251476985
tt1375670,Grown Ups,102,2010,Comedy,6/24/2010,6.0,30,PG-13,162001186
tt0892769,How to Train Your Dragon,98,2010,"Animation, Action, Adventure, Family, Fantasy",3/18/2010,8.1,74,PG,216900000
tt1375666,Inception,148,2010,"Action, Adventure, Sci-Fi, Thriller",7/8/2010,8.8,74,PG-13,292568851
tt1228705,Iron Man 2,124,2010,"Action, Adventure, Sci-Fi",4/26/2010,7.0,57,PG-13,312057433
tt1250777,Kick-Ass,117,2010,"Action, Comedy",3/12/2010,7.6,66,R,20000000
tt1245526,RED,111,2010,"Action, Comedy, Crime, Thriller",9/29/2010,7.1,60,PG-13,88900000
tt1130884,Shutter Island,138,2010,"Mystery, Thriller",2/13/2010,8.1,63,R,125001000
tt1104001,Tron,125,2010,"Action, Adventure, Fantasy, Sci-Fi",11/30/2010,6.8,49,PG,172051787
tt0435761,Toy Story 3,103,2010,"Animation, Adventure, Comedy, Family, Fantasy",6/12/2010,8.3,92,G,414984497
tt0780504,Drive,100,2011,"Crime, Drama",5/20/2011,7.8,78,R,34300000
tt1596343,Fast Five,130,2011,"Action, Crime, Thriller",4/15/2011,7.3,66,PG-13,209805005
tt1201607,Harry Potter and the Deathly Hallows: Part 2,130,2011,"Adventure, Drama, Fantasy, Mystery",7/7/2011,8.1,87,PG-13,381000185
tt1219289,Limitless,105,2011,"Mystery, Sci-Fi, Thriller",3/8/2011,7.4,59,PG-13,79230923
tt1298650,Pirates of the Caribbean: On Stranger Tides,136,2011,"Action, Adventure, Fantasy",5/7/2011,6.6,45,PG-13,241063875
tt1270798,X: First Class,131,2011,"Action, Adventure, Sci-Fi",5/25/2011,7.7,65,PG-13,145300000
